path,bucket,category_guess,size_bytes
scripts/outputs/mm3_0a_event_result_coverage.csv,KEEP_AS_DOC_SUMMARY_ONLY,SMALL_ARTIFACT,60358
scripts/outputs/mm3_0a_historical_range_inventory.csv,KEEP_AS_DOC_SUMMARY_ONLY,SMALL_ARTIFACT,63042
scripts/outputs/mm3_0a_historical_range_summary.json,KEEP_AND_COMMIT,SUMMARY,43817
scripts/outputs/mm3_0a_league_coverage_120_sm.csv,KEEP_AND_COMMIT,SMALL_ARTIFACT,10024
scripts/outputs/mm3_0a_market_outcome_feasibility.csv,KEEP_AND_COMMIT,SMALL_ARTIFACT,1088
scripts/outputs/mm3_0a_market_training_candidate_matrix.csv,KEEP_AND_COMMIT,SMALL_ARTIFACT,1137
scripts/outputs/mm3_0a_odds_market_coverage.csv,KEEP_AS_DOC_SUMMARY_ONLY,MEDIUM_ARTIFACT,134503
scripts/outputs/mm3_0a_recommended_markets.json,KEEP_AND_COMMIT,SUMMARY,1721
scripts/outputs/mm3_0a_table_inventory.csv,KEEP_AND_COMMIT,SMALL_ARTIFACT,1418
scripts/outputs/mm3_1a_backfill_batches.json,DO_NOT_COMMIT,LARGE_ARTIFACT,122013
scripts/outputs/mm3_1a_big5_fixture_inventory.csv,DO_NOT_COMMIT,LARGE_OR_RAW,644117
scripts/outputs/mm3_1a_cost_estimate.json,KEEP_AND_COMMIT,SMALL_ARTIFACT,7016
scripts/outputs/mm3_1a_cost_estimate_by_policy.csv,KEEP_AND_COMMIT,SMALL_ARTIFACT,611
scripts/outputs/mm3_1a_cost_reconciliation.json,KEEP_AND_COMMIT,SMALL_ARTIFACT,470
scripts/outputs/mm3_1a_scenario_estimates.csv,KEEP_AND_COMMIT,SMALL_ARTIFACT,826
scripts/outputs/mm3_1a_snapshot_plan_rows.csv,KEEP_AS_DOC_SUMMARY_ONLY,SMALL_ARTIFACT,60671
scripts/outputs/mm3_1a_sweep_readiness.json,KEEP_AND_COMMIT,SUMMARY,1499
scripts/outputs/mm3_1a_toa_pilot_cost.json,KEEP_AND_COMMIT,SUMMARY,166
scripts/outputs/mm3_1a_toa_pilot_match_rows.csv,KEEP_AND_COMMIT,SMALL_ARTIFACT,10327
scripts/outputs/mm3_1a_toa_pilot_raw.json,DO_NOT_COMMIT,LARGE_OR_RAW,4001587
scripts/outputs/mm3_1a_toa_pilot_rejections.csv,KEEP_AND_COMMIT,SMALL_ARTIFACT,23463
scripts/outputs/mm3_1b_summary.json,KEEP_AND_COMMIT,SUMMARY,1839
scripts/outputs/mm3_1b_toa_p0_checkpoint.json,DO_NOT_COMMIT,CHECKPOINT,133482
scripts/outputs/mm3_1b_toa_p0_cost.json,KEEP_AND_COMMIT,SUMMARY,220
scripts/outputs/mm3_1b_toa_p0_market_board.json,KEEP_AND_COMMIT,SMALL_ARTIFACT,577
scripts/outputs/mm3_1b_toa_p0_market_board_rows.csv,DO_NOT_COMMIT,LARGE_ARTIFACT,122501
scripts/outputs/mm3_1b_toa_p0_match_rows.csv,DO_NOT_COMMIT,LARGE_ARTIFACT,400678
scripts/outputs/mm3_1b_toa_p0_raw.json,DO_NOT_COMMIT,LARGE_OR_RAW,22775301
scripts/outputs/mm3_1b_toa_p0_rejections.csv,DO_NOT_COMMIT,LARGE_OR_RAW,3290362
scripts/outputs/mm3_1c_coverage_by_league_year_month.csv,KEEP_AND_COMMIT,SMALL_ARTIFACT,7924
scripts/outputs/mm3_1c_kickoff_tolerance_candidates.csv,KEEP_AS_DOC_SUMMARY_ONLY,MEDIUM_ARTIFACT,217625
scripts/outputs/mm3_1c_matched_vs_full_representativeness.csv,KEEP_AND_COMMIT,SMALL_ARTIFACT,748
scripts/outputs/mm3_1c_mm3_2_readiness.json,KEEP_AND_COMMIT,SUMMARY,457
scripts/outputs/mm3_1c_rejection_detail_rows.csv,DO_NOT_COMMIT,LARGE_OR_RAW,5799649
scripts/outputs/mm3_1c_rejection_reason_summary.csv,KEEP_AND_COMMIT,SMALL_ARTIFACT,112
scripts/outputs/mm3_1c_representativeness_summary.json,KEEP_AND_COMMIT,SUMMARY,231
scripts/outputs/mm3_1c_roi_safe_subset_v0.csv,DO_NOT_COMMIT,LARGE_OR_RAW,636486
scripts/outputs/mm3_1c_roi_safe_subset_v0.json,DO_NOT_COMMIT,LARGE_OR_RAW,1552475
scripts/outputs/mm3_1c_team_alias_candidates.csv,KEEP_AS_DOC_SUMMARY_ONLY,SMALL_ARTIFACT,83268
scripts/outputs/mm3_1d_ambiguous_match_rows.csv,KEEP_AND_COMMIT,SMALL_ARTIFACT,257
scripts/outputs/mm3_1d_best_match_rows.csv,DO_NOT_COMMIT,LARGE_OR_RAW,793660
scripts/outputs/mm3_1d_coverage_after_matching.csv,KEEP_AND_COMMIT,SMALL_ARTIFACT,6709
scripts/outputs/mm3_1d_improved_market_board.json,KEEP_AND_COMMIT,SMALL_ARTIFACT,726
scripts/outputs/mm3_1d_improved_market_board_rows.csv,DO_NOT_COMMIT,LARGE_ARTIFACT,245222
scripts/outputs/mm3_1d_matching_attempt_rows.csv,DO_NOT_COMMIT,LARGE_OR_RAW,994071
scripts/outputs/mm3_1d_mm3_2_readiness.json,KEEP_AND_COMMIT,SUMMARY,819
scripts/outputs/mm3_1d_representativeness_after_matching.json,KEEP_AND_COMMIT,SMALL_ARTIFACT,883
scripts/outputs/mm3_1d_roi_safe_subset_v1.csv,DO_NOT_COMMIT,LARGE_OR_RAW,794452
scripts/outputs/mm3_1d_roi_safe_subset_v1.json,DO_NOT_COMMIT,LARGE_OR_RAW,2569785
scripts/outputs/mm3_1d_team_alias_proposals.csv,KEEP_AND_COMMIT,SMALL_ARTIFACT,10832
scripts/outputs/mm3_1d_team_name_normalization_rules.json,KEEP_AND_COMMIT,SMALL_ARTIFACT,1790
scripts/outputs/mm3_1e_alias_simulated_coverage.csv,KEEP_AND_COMMIT,SMALL_ARTIFACT,220
scripts/outputs/mm3_1e_alias_simulated_match_rows.csv,KEEP_AND_COMMIT,SMALL_ARTIFACT,258
scripts/outputs/mm3_1e_bias_diagnosis_rows.csv,KEEP_AND_COMMIT,SMALL_ARTIFACT,48563
scripts/outputs/mm3_1e_bias_summary.json,KEEP_AND_COMMIT,SUMMARY,882
scripts/outputs/mm3_1e_dataset_candidate_summary.csv,KEEP_AND_COMMIT,SMALL_ARTIFACT,451
scripts/outputs/mm3_1e_dataset_representativeness_comparison.csv,KEEP_AND_COMMIT,SMALL_ARTIFACT,3122
scripts/outputs/mm3_1e_manual_alias_review_queue.csv,KEEP_AND_COMMIT,SMALL_ARTIFACT,12507
scripts/outputs/mm3_1e_mm3_2_decision.json,KEEP_AND_COMMIT,SUMMARY,1752
scripts/outputs/mm3_1e_representativeness_root_cause.json,KEEP_AND_COMMIT,SMALL_ARTIFACT,11571
scripts/outputs/mm3_1e_roi_safe_subset_v2_full.csv,DO_NOT_COMMIT,LARGE_OR_RAW,723101
scripts/outputs/mm3_1e_roi_safe_subset_v2_stratified.csv,DO_NOT_COMMIT,LARGE_OR_RAW,617823
scripts/outputs/mm3_1e_roi_safe_subset_v2_weighted.csv,DO_NOT_COMMIT,LARGE_OR_RAW,750839
scripts/outputs/branch_cleanup_file_classification.csv,KEEP_AND_COMMIT,CLEANUP_META,5515
scripts/outputs/branch_cleanup_gitignore_recommendations.csv,KEEP_AND_COMMIT,CLEANUP_META,1605
scripts/outputs/branch_cleanup_inventory_before.csv,KEEP_AND_COMMIT,CLEANUP_META,6764
scripts/outputs/branch_cleanup_py_compile.txt,KEEP_AND_COMMIT,CLEANUP_META,7828
scripts/outputs/branch_cleanup_removed_or_untracked.csv,KEEP_AND_COMMIT,CLEANUP_META,209
scripts/outputs/branch_cleanup_status_before.txt,KEEP_AND_COMMIT,CLEANUP_META,5152
